"Territorial authority by variable (Monthly)","","","","","",""
"","Total","","","","",""
" ","Dunedin City","","","","",""
" ","Establishments (number)","Capacity, daily (stay-units available)","Capacity, monthly (stay-unit-nights available)","Occupancy, monthly (stay-unit-nights used)","Guest arrivals (number)","Guest nights, total (number)"
"2012M02",79,2535,73515,50416,51395,86131
"2012M03",79,2529,78399,49484,49676,83460
"2012M04",79,2529,75870,38821,40651,72303
"2012M05",78,2528,78368,35022,33855,59043
"2012M06",77,2533,75990,27382,26990,45961
"2012M07",74,2360,73160,29812,28977,54460
"2012M08",75,2461,76291,27679,26027,46567
"2012M09",79,2556,76680,33105,33645,60395
"2012M10",77,2484,77004,35791,36824,67855
"2012M11",78,2492,74760,37058,37266,61221
"2012M12",77,2484,77004,38431,41088,69570
"2013M01",78,2484,77004,40683,42044,77287
"2013M02",78,2484,69552,46267,48990,81597
"2013M03",79,2508,77748,51386,48862,89704
"2013M04",79,2508,75240,42729,45570,74285
"2013M05",79,2506,77686,36326,35515,59981
"2013M06",76,2464,73920,31303,30005,50078
"2013M07",76,2455,76105,32605,31392,55051
"2013M08",75,2419,74989,33302,29485,54295
"2013M09",77,2447,73410,34013,34060,58410
"2013M10",78,2450,75950,40719,39424,73514
"2013M11",80,2493,74790,42576,40904,70893
"2013M12",80,2493,77283,43782,45505,81246
"2014M01",80,2492,77252,43813,45926,85602
"2014M02",80,2493,69804,50747,52530,90747
"2014M03",80,2492,77252,50270,48462,85368
"2014M04",79,2435,73050,42857,44487,77007
"2014M05",79,2435,75485,39206,37099,64898
"2014M06",79,2464,73920,30976,29026,52350
"2014M07",78,2458,76198,34278,33679,62115
"2014M08",78,2465,76415,33792,29944,56811
"2014M09",78,2465,73950,34190,32737,58061
"2014M10",78,2465,76415,44285,42361,82696
"2014M11",79,2510,75300,44532,43762,76848
"2014M12",79,2510,77810,43551,46981,82403
"2015M01",79,2522,78182,46244,48823,87805
"2015M02",79,2522,70616,54664,57469,95803
"2015M03",78,2505,77655,53688,53572,91471
"2015M04",78,2505,75150,47156,48472,83016
"2015M05",77,2477,76787,40503,38727,67144
"2015M06",75,2447,73410,32699,27910,51462
"2015M07",77,2443,75733,34179,32408,60990
"2015M08",77,2443,75733,35139,31435,57948
"2015M09",79,2462,73860,36550,35464,65382
"2015M10",80,2467,76477,41468,41547,74484
"2015M11",80,2497,74910,46225,48225,79444
"2015M12",81,2500,77500,46037,50514,85476
"2016M01",80,2497,77407,53298,56941,105368
"2016M02",80,2513,72877,57432,58354,102431
"2016M03",80,2514,77934,55776,55586,100323
"2016M04",80,2514,75420,48231,46693,84879
"2016M05",79,2509,77779,39424,35882,64987
"2016M06",79,2482,74460,32906,27703,52575
"2016M07",79,2482,76942,36431,34034,62733
"2016M08",78,2476,76756,33652,29749,54882
"2016M09",78,2491,74730,33925,32823,56851
"2016M10",78,2511,77841,40211,38516,70169
"2016M11",79,2506,75180,47304,45874,81264
"2016M12",79,2506,77686,44201,50243,85050
"2017M01",79,2559,79329,48146,55596,96230
"2017M02",79,2593,72604,54927,55042,95817
"2017M03",79,2604,80724,56680,55023,102450
"2017M04",79,2605,78150,47825,47980,88336
"2017M05",79,2605,80755,38567,35051,64621
"2017M06",79,2604,78120,33128,28687,54196
"2017M07",76,2569,79639,36944,33122,64084
"2017M08",77,2575,79825,35185,32060,59405
"2017M09",78,2581,77430,35672,33669,61990
"2017M10",80,2629,81499,40353,39609,70170
"2017M11",79,2625,78750,48542,45898,81389
"2017M12",78,2616,81096,47787,51100,89955
"2018M01",78,2616,81096,50776,56110,97343
"2018M02",78,2632,73696,57813,59857,103973
"2018M03",78,2633,81623,59016,64122,108457
"2018M04",78,2648,79440,48060,47312,85718
"2018M05",78,2612,80972,42016,36817,67406
"2018M06",74,2566,76980,33917,32702,59889
"2018M07",75,2566,79546,34443,31221,60472
"2018M08",74,2566,79546,33750,31099,58197
"2018M09",75,2606,78180,39021,36375,68327
"2018M10",76,2614,81034,41639,39697,74512
"2018M11",76,2614,78420,47855,46016,84173
"2018M12",76,2619,81189,45176,48327,87777
"Table information:"
"Units:"
"Number, Magnitude = Units"
""
"Footnotes:"
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"ACS026AA"
""
"Last updated:"
"18 February 2019 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
